STATUS	DATA SOLICITAÇÃO	PAÍS DE ORIGEM	GÊNERO	ANO DE NASCIMENTO	CIDADE SOLICITAÇÃO	DATA DA  DECISÃO
ELEGIBILIDADE - DEFERIDO	2017	TUNÍSIA	M	1996	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	2010	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	2011	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	1990	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	2010	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1990	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	1978	FOZ DO IGUAÇU	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	2003	FOZ DO IGUAÇU	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	2011	FOZ DO IGUAÇU	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1965	FOZ DO IGUAÇU	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2018	GUINÉ	M	1979	BRASÍLIA	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2018	SÍRIA	M	1954	BRASÍLIA	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2018	EGITO	F	1989	BRASÍLIA	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2018	EGITO	M	2016	BRASÍLIA	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2019	PALESTINA	M	1993	SÃO PAULO	29/03/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2019	SÍRIA	F	1988	BRASÍLIA	29/03/2019
